apn,address
63024010,Illinois St
63011180,Tulane Ave
63023340,Fordham St
63013150,Georgetown St
63023130,Temple Ct
63023010,Illinois St
63011040,Tulane Ave
63013080,Tulane Ave
63023390,Fordham St
63023380,Fordham St
63023020,Illinois St
63011110,Tulane Ave
63023050,Drew Ct
63023360,Fordham St
63011030,Tulane Ave
63022040,Fordham St
63013020,Tulane Ave
63023090,Illinois St
63022060,Fordham St
63011170,Tulane Ave
63024050,Illinois St
63023040,Illinois St
63021030,Fordham St
63024030,Illinois St
63011020,Tulane Ave
63023060,Drew Ct
63013070,Tulane Ave
63013140,Georgetown St
63015050,Georgetown St
63024070,Illinois St
63023310,Fordham St
63023290,Fordham St
63013010,Tulane Ave
63013190,Hunter St
63011160,Tulane Ave
63011100,Tulane Ave
63015240,Tulane Ave
63022020,Fordham St
63013130,Georgetown St
63023070,Drew Ct
63024090,Illinois St
63011150,Tulane Ave
63023370,Fordham St
63011010,Tulane Ave
63023330,Fordham St
63015070,Georgetown St
63011210,Rutgers St
63011090,Tulane Ave
63013060,Tulane Ave
63023080,Illinois St
63013120,Tulane Ave
63022010,Rutgers St
63011080,Tulane Ave
63013050,Tulane Ave
63022050,Fordham St
63023120,Temple Ct
63013200,Hunter St
63021080,Fordham St
63021070,Fordham St
63011140,Tulane Ave
63015230,Tulane Ave
63023350,Fordham St
63013170,Hunter St
63022070,Fordham St
63341610,Garden St
63021060,Fordham St
63021050,Fordham St
63011070,Tulane Ave
63023030,Illinois St
63024040,Illinois St
63015040,Georgetown St
63013110,Tulane Ave
63013040,Tulane Ave
63023300,Fordham St
63013160,Hunter St
63021040,Fordham St
63011200,Tulane Ave
63011130,Tulane Ave
63024020,Illinois St
63015020,Tulane Ave
63011060,Tulane Ave
63024060,Illinois St
63024080,Illinois St
63023100,Illinois St
63011190,Tulane Ave
63022030,Fordham St
63013100,Tulane Ave
63015060,Georgetown St
63023140,Temple Ct
63013210,Hunter St
63023320,Fordham St
63013030,Tulane Ave
63023280,Fordham St
63024100,Illinois St
63012010,Xavier St
63021020,Fordham St
63011120,Tulane Ave
63015030,Tulane Ave
63011050,Tulane Ave
63013090,Tulane Ave
63013180,Hunter St
63015080,Georgetown St
63023260,Fordham St
63041020,Fordham St
63042010,Stevens Ave
63014170,Hunter St
63013270,Hunter St
63012070,Xavier St
63044280,Gonzaga St
63042070,Gonzaga St
63042220,Fordham St
63046060,Illinois St
63042180,Fordham St
63043210,Fordham St
63013220,Hunter St
63022080,Fordham St
63013330,Xavier St
63041040,Fordham St
63044030,Illinois St
63031050,Purdue Ave
63031110,Purdue Ave
63042130,Gonzaga St
63043200,Fordham St
63032080,Fordham St
63022100,Fordham St
63013250,Hunter St
63023180,Illinois St
63014030,Georgetown St
63015150,Georgetown St
63013350,Xavier St
63042280,Fordham St
63042050,Gonzaga St
63014100,Georgetown St
63046080,Illinois St
63046100,Illinois St
63042160,Fordham St
