"APN"|"valid"|"geometry"
"062111020"|TRUE|list(c(6081883.70301814, 6081925.81363176, 6081976.2582568, 6081946.3625022, 6081883.70301814, 1999348.92197242, 1999448.01000085, 1999438.26597216, 1999369.52055306, 1999348.92197242), c(6081916.19835916, 6081898.202132, 6081929.92000485, 6081947.91618924, 6081916.19835916, 1999420.52023352, 1999377.33185422, 1999364.11527223, 1999407.3036724, 1999420.52023352))
"062111030"|TRUE|list(c(6081997.02312416, 6081937.95270765, 6081986.31788061, 6082032.23406646, 6081997.02312416, 1999344.52517777, 1999325.10686609, 1999436.32279389, 1999427.45296712, 1999344.52517777), c(6081976.05996641, 6081957.12031574, 6081994.96705914, 6082013.90694622, 6081976.05996641, 1999405.07230694, 1999359.6197958, 1999343.84928426, 1999389.30181652, 1999405.07230694))
"062112010"|TRUE|list(c(6081907.35262438, 6082122.01879673, 6082140.47278932, 6082098.84968984, 6081907.35262438, 1999344.63341021, 1999415.20200568, 1999411.63734324, 1999307.64421955, 1999344.63341021), c(6082128.80433688, 6082089.62965119, 6082082.61507415, 6082095.67340329, 6082088.65882476, 6082075.60048877, 6082061.57158309, 6082087.68799112, 6082094.70257947, 6082107.76064251, 6082128.80433688, 1999388.23087448, 1999404.55451295, 1999387.7207306, 1999382.27962777, 1999365.44584397, 1999370.88695014, 1999337.21938972, 
1999326.33681131, 1999343.17059475, 1999337.72950291, 1999388.23087448))
"062112020"|TRUE|list(c(6082113.00626017, 6082124.62736337, 6082158.45370191, 6082173.92697091, 6082139.57718984, 6082153.57819251, 6082203.17819842, 6082171.64468838, 6082113.00626017, 1999302.64655219, 1999331.68126698, 1999317.58596395, 1999354.71930934, 1999369.03262171, 1999404.01339008, 1999394.4320504, 1999321.92208433, 1999302.64655219))
"062112030"|TRUE|list(c(6082174.50979283, 6082184.06577411, 6082192.31180618, 6082208.380598, 6082214.06634787, 6082219.75238271, 6082225.43811584, 6082209.36934268, 6082200.7733238, 6082213.23781963, 6082261.05027072, 6082234.984338, 6082174.50979283, 1999303.43537287, 1999325.40894565, 1999321.73275919, 1999314.56922262, 1999327.32346085, 1999340.07769516, 1999352.83157178, 1999359.9950983, 1999363.82724605, 1999392.48882445, 1999383.25300418, 1999323.31427732, 1999303.43537287))
"062112040"|TRUE|list(c(6082243.59623476, 6082228.20777424, 6082271.10990019, 6082448.51641047, 6082272.39982325, 6082243.59623476, 1999279.68369137, 1999282.65621173, 1999381.30983891, 1999347.04251014, 1999289.15164977, 1999279.68369137), c(6082272.39982325, 6082286.40665303, 6082257.92500527, 6082243.91814559, 6082272.39982325, 1999289.15164977, 1999322.76617215, 1999334.63423243, 1999301.01972468, 1999289.15164977))
"062113010"|TRUE|list(c(6082386.25822241, 6082434.83575087, 6082424.87372564, 6082410.42103451, 6082415.85698813, 6082401.88588891, 6082404.67263179, 6082376.73017279, 6082368.90583113, 6082294.06270254, 6082386.25822241, 1999364.15998814, 1999354.7755817, 1999303.51048763, 1999306.86300436, 1999337.80287838, 1999340.25740245, 1999356.11855092, 1999361.02798696, 1999316.49307343, 1999333.85405059, 1999364.15998814))
"062113020"|TRUE|list(c(6082331.38282725, 6082352.80952401, 6082426.88446478, 6082426.69092162, 6082397.15063386, 6082399.74360975, 6082360.75231257, 6082354.49214136, 6082331.38282725, 1999255.32210138, 1999304.82858087, 1999287.6457963, 1999286.64976226, 1999276.93990369, 1999291.69822393, 1999298.54886542, 1999262.91810632, 1999255.32210138))
"062113030"|TRUE|list(c(6082428.48121158, 6082448.60974673, 6082486.77216623, 6082470.7769524, 6082466.01447469, 6082428.48121158, 1999243.43732601, 1999347.02233808, 1999339.65089305, 1999257.33958273, 1999255.77419609, 1999243.43732601), c(6082466.01447469, 6082481.17096609, 6082451.99518302, 6082440.62798525, 6082455.21561398, 6082451.42655019, 6082466.01447469, 1999255.77419609, 1999322.60797973, 1999329.22445501, 1999279.09903368, 1999275.79097318, 1999259.08261991, 1999255.77419609))
"062113040"|TRUE|list(c(6082477.97316781, 6082496.59067636, 6082537.05015633, 6082522.8154589, 6082519.2881705, 6082524.76818507, 6082507.95051553, 6082505.06959639, 6082488.2519204, 6082482.48976272, 6082477.97316781, 1999241.94869221, 1999337.75432128, 1999329.9389255, 1999256.68784784, 1999255.5284679, 1999286.71898719, 1999289.67379417, 1999273.27533517, 1999276.23015435, 1999243.43324605, 1999241.94869221))
"062113050"|TRUE|list(c(6082525.58863171, 6082528.81824207, 6082558.18395862, 6082525.58863171, 1999218.53630436, 1999235.15572604, 1999229.24981157, 1999218.53630436))
"062113050"|TRUE|list(c(6082535.36338078, 6082546.86866341, 6082584.4401693, 6082567.23034107, 6082558.18395862, 6082558.18395862, 6082564.94852896, 6082535.36338078, 1999268.83669933, 1999328.04233791, 1999320.78490881, 1999232.22319741, 1999229.24981157, 1999229.24981157, 1999262.8866537, 1999268.83669933))
"062113060"|TRUE|list(c(6082575.6953278, 6082594.25867533, 6082635.45817299, 6082621.35786169, 6082612.1374504, 6082614.5309157, 6082584.24568953, 6082579.55458268, 6082575.6953278, 1999223.36139933, 1999318.88831599, 1999310.92992779, 1999238.36977885, 1999235.33921045, 1999251.24313548, 1999255.80075529, 1999224.62986073, 1999223.36139933))
"062113070"|TRUE|list(c(6082626.22003711, 6082633.99410061, 6082632.98663025, 6082632.98663025, 6082626.22003711, 1999210.96792726, 1999250.97322887, 1999213.19194148, 1999213.19194148, 1999210.96792726))
"062113070"|TRUE|list(c(6082635.06032723, 6082645.27666467, 6082683.45516808, 6082668.5342351, 6082659.48214754, 6082660.38544579, 6082635.06032723, 1999256.46002703, 1999309.03326112, 1999301.65798593, 1999224.87557268, 1999221.90037216, 1999255.78483541, 1999256.46002703))
